Shares,Security ID,Transaction Description,Date,Amount
,00206R102,CASH RECEIPT DIVIDEND EARNED ON AT&T INC $ 0.470000/SHARE ON 5300 SHARES Due 11/02/2015,11/2/15,2491
,00206R102,CASH RECEIPT DIVIDEND EARNED ON AT&T INC $ 0.480000/SHARE ON 5300 SHARES Due 02/01/2016,2/1/16,2544
,2824100,CASH RECEIPT DIVIDEND EARNED ON ABBOTT LABORATORIES $ 0.240000/SHARE ON 7500 SHARES Due 11/15/2015,11/16/15,1800
,2824100,CASH RECEIPT DIVIDEND EARNED ON ABBOTT LABORATORIES $ 0.260000/SHARE ON 7500 SHARES Due 02/16/2016,2/16/16,1950
,00287Y109,CASH RECEIPT DIVIDEND EARNED ON ABBVIE INC. $ 0.510000/SHARE ON 5000 SHARES Due 11/16/2015,11/16/15,2550
,00287Y109,CASH RECEIPT DIVIDEND EARNED ON ABBVIE INC. $ 0.570000/SHARE ON 5000 SHARES Due 02/16/2016,2/16/16,2850
,02209S103,CASH RECEIPT DIVIDEND EARNED ON ALTRIA GROUP INC $ 0.565000/SHARE ON 5000 SHARES Due 10/09/2015,10/9/15,2825
,02209S103,CASH RECEIPT DIVIDEND EARNED ON ALTRIA GROUP INC $ 0.565000/SHARE ON 5000 SHARES Due 01/11/2016,1/11/16,2825
,53015103,CASH RECEIPT DIVIDEND EARNED ON AUTOMATIC DATA PROCESSING INC $ 0.490000/SHARE ON 5000 SHARES Due 10/01/2015,10/1/15,2450
,53015103,CASH RECEIPT DIVIDEND EARNED ON AUTOMATIC DATA PROCESSING INC $ 0.530000/SHARE ON 5000 SHARES Due 01/01/2016,1/4/16,2650
,53015103,CASH RECEIPT DIVIDEND EARNED ON AUTOMATIC DATA PROCESSING INC $ 0.530000/SHARE ON 5000 SHARES Due 04/01/2016,4/1/16,2650
,110122108,CASH RECEIPT DIVIDEND EARNED ON BRISTOL-MYERS SQUIBB CO $ 0.370000/SHARE ON 5000 SHARES Due 11/02/2015,11/2/15,1850
,110122108,CASH RECEIPT DIVIDEND EARNED ON BRISTOL-MYERS SQUIBB CO $ 0.380000/SHARE ON 5000 SHARES Due 02/01/2016,2/1/16,1900
,1.25E+105,CASH RECEIPT DIVIDEND EARNED ON C D K GLOBAL INC. $ 0.135000/SHARE ON 1666 SHARES Due 12/30/2015,12/30/15,224.91
,1.25E+105,CASH RECEIPT DIVIDEND EARNED ON C D K GLOBAL INC. $ 0.135000/SHARE ON 1666 SHARES Due 03/29/2016,3/29/16,224.91
,163851108,CASH RECEIPT DIVIDEND EARNED ON CHEMOURS CO $ 0.030000/SHARE ON 1080 SHARES Due 12/14/2015,12/14/15,32.4
,17275R102,CASH RECEIPT DIVIDEND EARNED ON CISCO SYSTEMS INC $ 0.210000/SHARE ON 8000 SHARES Due 10/21/2015,10/21/15,1680
,17275R102,CASH RECEIPT DIVIDEND EARNED ON CISCO SYSTEMS INC $ 0.210000/SHARE ON 8000 SHARES Due 01/20/2016,1/20/16,1680
,254687106,CASH RECEIPT DIVIDEND EARNED ON WALT DISNEY CO/THE $ 0.710000/SHARE ON 1200 SHARES Due 01/11/2016,1/11/16,852
,25746U109,CASH RECEIPT DIVIDEND EARNED ON DOMINION RES INC VA NEW $ 0.647500/SHARE ON 6000 SHARES Due 12/20/2015,12/21/15,3885
,25746U109,CASH RECEIPT DIVIDEND EARNED ON DOMINION RES INC VA NEW $ 0.700000/SHARE ON 6000 SHARES Due 03/20/2016,3/21/16,4200
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 09/30/2015,10/1/15,6.3
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 10/31/2015,11/2/15,6.04
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 11/30/2015,12/1/15,5.02
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 12/31/2015,1/4/16,14.85
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 01/31/2016,2/1/16,30.88
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 02/29/2016,3/1/16,43.59
,261908107,CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 03/31/2016,4/1/16,49.96
,263534109,CASH RECEIPT DIVIDEND EARNED ON DU PONT (E I) DE NEMOURS $ 0.380000/SHARE ON 5400 SHARES Due 12/14/2015,12/14/15,2052
,263534109,CASH RECEIPT DIVIDEND EARNED ON DU PONT (E I) DE NEMOURS $ 0.380000/SHARE ON 5400 SHARES Due 03/14/2016,3/14/16,2052
,278865100,CASH RECEIPT DIVIDEND EARNED ON ECOLAB INC $ 0.330000/SHARE ON 2000 SHARES Due 10/15/2015,10/15/15,660
,278865100,CASH RECEIPT DIVIDEND EARNED ON ECOLAB INC $ 0.350000/SHARE ON 2000 SHARES Due 01/15/2016,1/15/16,700
,30231G102,CASH RECEIPT DIVIDEND EARNED ON EXXON MOBIL CORP $ 0.730000/SHARE ON 5000 SHARES Due 12/10/2015,12/10/15,3650
,30231G102,CASH RECEIPT DIVIDEND EARNED ON EXXON MOBIL CORP $ 0.730000/SHARE ON 5000 SHARES Due 03/10/2016,3/10/16,3650
,369604103,CASH RECEIPT DIVIDEND EARNED ON GENERAL ELECTRIC CO $ 0.230000/SHARE ON 13000 SHARES Due 10/26/2015,10/26/15,2990
,369604103,CASH RECEIPT DIVIDEND EARNED ON GENERAL ELECTRIC CO $ 0.230000/SHARE ON 13000 SHARES Due 01/25/2016,1/25/16,2990
,478160104,CASH RECEIPT DIVIDEND EARNED ON JOHNSON & JOHNSON $ 0.750000/SHARE ON 3000 SHARES Due 12/08/2015,12/8/15,2250
,478160104,CASH RECEIPT DIVIDEND EARNED ON JOHNSON & JOHNSON $ 0.750000/SHARE ON 3000 SHARES Due 03/08/2016,3/8/16,2250
,571748102,CASH RECEIPT DIVIDEND EARNED ON MARSH & MCLENNAN COS INC $ 0.310000/SHARE ON 10000 SHARES Due 11/13/2015,11/13/15,3100
,571748102,CASH RECEIPT DIVIDEND EARNED ON MARSH & MCLENNAN COS INC $ 0.310000/SHARE ON 10000 SHARES Due 02/12/2016,2/12/16,3100
,609207105,CASH RECEIPT DIVIDEND EARNED ON MONDELEZ INTERNATIONAL $ 0.170000/SHARE ON 5376 SHARES Due 10/14/2015,10/14/15,913.92
,609207105,CASH RECEIPT DIVIDEND EARNED ON MONDELEZ INTERNATIONAL $ 0.170000/SHARE ON 5376 SHARES Due 01/14/2016,1/14/16,913.92
,654106103,CASH RECEIPT DIVIDEND EARNED ON NIKE INC CLASS B $ 0.320000/SHARE ON 2000 SHARES Due 01/04/2016,1/4/16,640
,654106103,CASH RECEIPT REVERSAL OF DIVIDEND EARNED ON NIKE INC CLASS B $ -0.320000/SHARE ON Due 01/04/2016,1/4/16,-640
,654106103,CASH RECEIPT DIVIDEND EARNED ON NIKE INC CLASS B $ 0.320000/SHARE ON 1000 SHARES Due 01/04/2016,1/4/16,320
,713448108,CASH RECEIPT DIVIDEND EARNED ON PEPSICO INC $ 0.702500/SHARE ON 5500 SHARES Due 01/07/2016,1/7/16,3863.75
,713448108,CASH RECEIPT DIVIDEND EARNED ON PEPSICO INC $ 0.702500/SHARE ON 5500 SHARES Due 03/31/2016,3/31/16,3863.75
,717081103,CASH RECEIPT DIVIDEND EARNED ON PFIZER INC $ 0.280000/SHARE ON 9000 SHARES Due 12/01/2015,12/1/15,2520
,717081103,CASH RECEIPT DIVIDEND EARNED ON PFIZER INC $ 0.300000/SHARE ON 9000 SHARES Due 03/02/2016,3/2/16,2700
,718172109,CASH RECEIPT DIVIDEND EARNED ON PHILIP MORRIS INTERNAT $ 1.020000/SHARE ON 3000 SHARES Due 10/14/2015,10/14/15,3060
,718172109,CASH RECEIPT DIVIDEND EARNED ON PHILIP MORRIS INTERNAT $ 1.020000/SHARE ON 3000 SHARES Due 01/08/2016,1/8/16,3060
,729251108,CASH RECEIPT DIVIDEND EARNED ON PLUM CREEK TIMBER CO INC $ 0.440000/SHARE ON 5000 SHARES Due 11/30/2015,11/30/15,2200
,742718109,CASH RECEIPT DIVIDEND EARNED ON PROCTER & GAMBLE CO $ 0.662900/SHARE ON 6000 SHARES Due 11/16/2015,11/16/15,3977.4
,742718109,CASH RECEIPT DIVIDEND EARNED ON PROCTER & GAMBLE CO $ 0.662900/SHARE ON 6000 SHARES Due 02/16/2016,2/16/16,3977.4
,773903109,"CASH RECEIPT DIVIDEND EARNED ON ROCKWELL AUTOMATION, INC. $ 0.725000/SHARE ON 2500 SHARES Due 12/10/2015",12/10/15,1812.5
,773903109,"CASH RECEIPT DIVIDEND EARNED ON ROCKWELL AUTOMATION, INC. $ 0.725000/SHARE ON 2500 SHARES Due 03/10/2016",3/10/16,1812.5
,806857108,CASH RECEIPT DIVIDEND EARNED ON SCHLUMBERGER LTD $ 0.500000/SHARE ON 6000 SHARES Due 10/09/2015,10/9/15,3000
,806857108,CASH RECEIPT DIVIDEND EARNED ON SCHLUMBERGER LTD $ 0.500000/SHARE ON 6000 SHARES Due 01/08/2016,1/8/16,3000
,92826C839,CASH RECEIPT DIVIDEND EARNED ON VISA INC-CLASS A SHRS $ 0.140000/SHARE ON 3000 SHARES Due 12/01/2015,12/1/15,420
,92826C839,CASH RECEIPT DIVIDEND EARNED ON VISA INC-CLASS A SHRS $ 0.140000/SHARE ON 3000 SHARES Due 03/01/2016,3/1/16,420
,929740108,CASH RECEIPT DIVIDEND EARNED ON WABTEC CORP $ 0.080000/SHARE ON 2800 SHARES Due 11/30/2015,11/30/15,224
,929740108,CASH RECEIPT DIVIDEND EARNED ON WABTEC CORP $ 0.080000/SHARE ON 2800 SHARES Due 02/26/2016,2/26/16,224
,962166104,CASH RECEIPT DIVIDEND EARNED ON WEYERHAEUSER CO $ 0.310000/SHARE ON 8000 SHARES Due 03/18/2016,3/18/16,2480
,,CASH RECEIPT CLASS ACTION PROCEEDS NET OF EXPENSES,10/23/15,105.06
,,FEE MARKET VALUE FEE COLLECTED,10/26/15,-6612.67
,,FEE MARKET VALUE FEE COLLECTED,1/21/16,-9447.3
1300,00971T101,"PURCHASED AKAMAI TECHNOLOGIES INC 1,300 SHARES AT $70.3693",10/19/15,-91610.09
700,03662Q105,PURCHASED ANSYS INC 700 SHARES AT $91.206,10/19/15,-63914.2
1000,654106103,"PURCHASED NIKE INC CLASS B 1,000 SHARES AT $125.56980064",10/19/15,-125649.8
2450,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/1/15,-2450
6.3,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/2/15,-6.3
2825,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/9/15,-2825
3000,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/9/15,-3000
3973.92,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/14/15,-3973.92
660,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/15/15,-660
1680,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/21/15,-1680
105.06,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/23/15,-105.06
4341,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/2/15,-4341
6.04,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/3/15,-6.04
3100,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/13/15,-3100
8327.4,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/16/15,-8327.4
6210,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/17/15,-6210
494.45,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/27/15,-494.45
2424,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/30/15,-2424
2940,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/1/15,-2940
5.02,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/2/15,-5.02
34821.74,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/7/15,-34821.74
2250,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/8/15,-2250
5462.5,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/10/15,-5462.5
482.2,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/10/15,-482.2
2084.4,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/14/15,-2084.4
3885,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/21/15,-3885
750,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/24/15,-750
224.91,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/30/15,-224.91
3290,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/4/16,-3290
14.85,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/5/16,-14.85
3863.75,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/7/16,-3863.75
3060,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/8/16,-3060
3000,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/8/16,-3000
3677,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/11/16,-3677
913.92,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/14/16,-913.92
700,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/15/16,-700
1680,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/20/16,-1680
2990,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/25/16,-2990
4444,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/1/16,-4444
30.88,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/2/16,-30.88
3100,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/12/16,-3100
8777.4,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/16/16,-8777.4
224,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/26/16,-224
420,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/1/16,-420
2743.59,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/2/16,-2743.59
2250,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/8/16,-2250
5462.5,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/10/16,-5462.5
2052,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/14/16,-2052
2480,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/18/16,-2480
4200,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/21/16,-4200
224.91,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/29/16,-224.91
3863.75,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/31/16,-3863.75
2650,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,4/1/16,-2650
-6505,60505104,"SOLD BANK OF AMERICA CORP 6,505 SHARES AT $15.66500073",10/19/15,101573.71
-1080,163851108,"SOLD CHEMOURS CO 1,080 SHARES AT $5.85009756",11/17/15,6210
-179600.38,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,10/19/15,179600.38
-3622.67,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,10/26/15,3622.67
-420,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,11/20/15,420
-40816.19,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,11/23/15,40816.19
-494.45,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,11/24/15,494.45
-40321.24,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/3/15,40321.24
-45878.56,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/8/15,45878.56
-485.2,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/9/15,485.2
-225000,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/22/15,225000
-35000,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/23/15,35000
-2542.76,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/28/15,2542.76
-320,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/4/16,320
-1800,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/14/16,1800
-9447.3,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/21/16,9447.3
-70,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/28/16,70
-5000,729251108,STOCK MERGER 5000.0000 SHARES OF PLUM CREEK TIMBER CO INC DELIVERED SHARES AS A RESULT OF A MERGER,2/22/16,0
8000,962166104,STOCK MERGER 8000.0000 SHARES OF WEYERHAEUSER CO,2/22/16,0
1000,654106103,STOCK SPLIT 2 FOR 1 STOCK SPLIT ON NIKE INC CLASS B DUE 12/23/2015 1000 ADDITIONAL SHARES RECEIVED,12/24/15,0